vote_start,vote_end,award,artiste,song,votes,created_at,updated_at
2016-11-11,2016-11-14,MCOUNTDOWN,EXO-CBX,Hey Mama!,47.8,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,KyuHyun,Blah Blah (Prod. by Yoon JongShin),11.5,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,TWICE,TT,11.3,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BTOB,I'll Be Your Man,9.4,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MAMAMOO,Decalcomanie,6.1,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,T-ara,TIAMO,3.5,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BLACKPINK,PLAYING WITH FIRE,3.5,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,B.A.P,SKYDIVE,2.8,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,VIXX,The Closer,1.9,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,ASTRO,Confession,0.8,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MONSTA X,Fighter,0.4,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,ToppDogg,Rainy Day,0.3,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Hyolyn,Paradise,0.1,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Block B Bastarz,Make It Rain,0.1,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,VICTON,I'm Fine,0.1,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,24K,BINGO,0.1,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Davichi,Love is,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Park SiHwan,Gift of Love,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Berrygood,Don't Believe,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,D.I.P,FIZZ,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Crayon Pop,Doo Doom Chit,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BullDok,Why not,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Baek ChungKang,BOMB DI BOMB,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,GIRLS GIRLS,JUICY SECRET,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,December,I can't let you go,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,SE7EN,GIVE IT TO ME,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,HALO,Mariya,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MOMOLAND,JJan! Koong! Kwang!,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,HIGHTEEN,BOOM BOOM CLAP,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,A.DE,Good Time,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Anda,Like Family,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,SOUL LATIDO,Your Name,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,The EastLight,holla,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BoK,Don't leave,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Superkidd,Sundance,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Lim JeongHee,I.O.U,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,BINBLOW,Say Don't Go,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Kim Juna,Summer Dream,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MATILDA,You Bad! Don't Make Me Cry,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Lee YeJoon,Be mine,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Big Brain,Sick,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Shin YongJae,Lean On,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Wax,You are You are You are,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,SORAN,I want to be the only one to know,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,MAN`S AVENUE,Me on that day,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Monday Kiz,Hardest Word,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Na YoonKwon,So it is,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,Seol Hayoon,Please Arrest My Oppa!,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,NC.A,Next Station,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
2016-11-11,2016-11-14,MCOUNTDOWN,OhBliss,BUNNYBUNNY,0.0,2016-11-25 23:42:09 +0800,2016-11-25 23:42:09 +0800
